Transaction,Delivered by
Charge (registered land),HM Land Registry
Discharge of a Charge,HM Land Registry
Transfer for Value,HM Land Registry
Transfer not for value,HM Land Registry
Restriction (Standard),HM Land Registry
Cancellation of Restriction,HM Land Registry
Change of Address for Service,HM Land Registry
Change of Name,HM Land Registry
Surrender of Lease,HM Land Registry
Death of Joint Proprietor,HM Land Registry
Severence of Joint Tenancy,HM Land Registry
Rectification of Register,HM Land Registry
Unilateral Notice,HM Land Registry
Transfer of Share,HM Land Registry
Withdrawal of Restriction,HM Land Registry
Cancellation of Noted Lease,HM Land Registry
Assent  ,HM Land Registry
Transfer of Charge,HM Land Registry
Variation of Lease  ,HM Land Registry
Noting of Easement,HM Land Registry
Deed of Grant of Easement,HM Land Registry
Merger,HM Land Registry
Cancellation of Notice (not unilateral),HM Land Registry
Change of Propery Description,HM Land Registry
Removal of Unilateral Notice,HM Land Registry
Agreed Notice,HM Land Registry
Cancellation of Unilateral Notice,HM Land Registry
Obligation to make Further Advnaces,HM Land Registry
Amalgamation,HM Land Registry
Upgrade of Title,HM Land Registry
Transfer Under Power of Sale,HM Land Registry
Statutory Vesting Land,HM Land Registry
Postponement of Charge,HM Land Registry
Noting of Lease,HM Land Registry
Home Rigths,HM Land Registry
Transfer Subject to a Charge,HM Land Registry
Charging Order - Agreed Notice,HM Land Registry
Cancellation of Home Rights,HM Land Registry
Form LL Restriction Entered - Simple Request,HM Land Registry
Variation of Charge,HM Land Registry
Amendement of Unilateral Notice,HM Land Registry
Changer of Addess - Chargee,HM Land Registry
Amendment of Title Plan,HM Land Registry
Modification of Restriction,HM Land Registry
Restrictive Covenants - Entry of,HM Land Registry
"Caution Amendment, No Change of Cautioner",HM Land Registry
Release of Easements,HM Land Registry
Appointment of New Trustee,HM Land Registry
Schedule 4 LRA 2002 - Alt of Reg (including title plan),HM Land Registry
Charging Order - Unilateral Notice,HM Land Registry
Variation of Covenants,HM Land Registry
Restrictive Covenants - Entry of,HM Land Registry
Sub Charge,HM Land Registry
Discharge of Part,HM Land Registry
Change of Name - Chargee,HM Land Registry
Provisions-MISC,HM Land Registry
Notification of Dissolution of Compary,HM Land Registry
Withdrawal of Caution,HM Land Registry
Death of Sole Proprietor,HM Land Registry
Variation of Easements,HM Land Registry
Release of Covenant - Cancellation,HM Land Registry
Withdrawal of Notice of Deposit,HM Land Registry
Personal Covenents,HM Land Registry
Cancellation of Bankruptcy Restriction,HM Land Registry
Cancellation of a Caution,HM Land Registry
Vesting Order,HM Land Registry
Transfer of Operations of Law on Death,HM Land Registry
Transfer for Value RTB/RTA,HM Land Registry
Disapplication of Restriction,HM Land Registry
Extnguishment of Rentcharge,HM Land Registry
Determined Boundary,HM Land Registry
Transfer of Residue,HM Land Registry
